slide_id,anchor_rank,anchor_score,anchor_coord_x,anchor_coord_y,anchor_center_x,anchor_center_y,anchor_bbox_x0,anchor_bbox_y0,anchor_bbox_x1,anchor_bbox_y1,neighbor_count,top_class,top_class_name,top_concept,top_prompt_index,center_patch_index,nms_radius,nms_suppressed_by_rank,selection_note
2461671-B2,8,0.47985294461250305,52832.0,39504.0,52960.0,39632.0,52832.0,39504.0,53088.0,39760.0,1,0,Adenocarcinoma,solid growth pattern,4,257,512.0,,ok
2461671-B2,9,0.4729698896408081,24160.0,35408.0,24288.0,35536.0,24160.0,35408.0,24416.0,35664.0,1,0,Adenocarcinoma,papillary architecture,2,150,512.0,,ok
2461671-B2,10,0.47089821100234985,96819.0,44897.0,96947.0,45025.0,96819.0,44897.0,97075.0,45153.0,1,0,Adenocarcinoma,papillary architecture,2,321,512.0,,ok
2461671-B2,11,0.4700242578983307,113203.0,40801.0,113331.0,40929.0,113203.0,40801.0,113459.0,41057.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,52,512.0,,ok
2461671-B2,12,0.46825259923934937,105011.0,36705.0,105139.0,36833.0,105011.0,36705.0,105267.0,36961.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,19,512.0,,ok
2461671-B2,13,0.46555447578430176,20064.0,39504.0,20192.0,39632.0,20064.0,39504.0,20320.0,39760.0,1,0,Adenocarcinoma,papillary architecture,2,138,512.0,,ok
2461671-B2,14,0.4634232521057129,24160.0,43600.0,24288.0,43728.0,24160.0,43600.0,24416.0,43856.0,1,0,Adenocarcinoma,mixed acinar papillary architecture,7,152,512.0,,ok
2461671-B2,15,0.46285128593444824,20064.0,43600.0,20192.0,43728.0,20064.0,43600.0,20320.0,43856.0,1,0,Adenocarcinoma,solid growth pattern,4,139,512.0,,ok
2461671-B2,16,0.4624147415161133,88627.0,44897.0,88755.0,45025.0,88627.0,44897.0,88883.0,45153.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,297,512.0,,ok
2461677-B2,1,0.4731292724609375,127206.0,19057.0,127334.0,19185.0,127206.0,19057.0,127462.0,19313.0,1,0,Adenocarcinoma,solid growth pattern,4,21,512.0,,ok
2461677-B2,2,0.4716746509075165,123110.0,14961.0,123238.0,15089.0,123110.0,14961.0,123366.0,15217.0,1,0,Adenocarcinoma,papillary architecture,2,14,512.0,,ok
2461677-B2,3,0.46952563524246216,114918.0,23153.0,115046.0,23281.0,114918.0,23153.0,115174.0,23409.0,1,0,Adenocarcinoma,papillary architecture,2,4,512.0,,ok
2461677-B2,4,0.466854065656662,66786.0,26977.0,66914.0,27105.0,66786.0,26977.0,67042.0,27233.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,44,512.0,,ok
2461677-B2,5,0.4616166055202484,110822.0,14961.0,110950.0,15089.0,110822.0,14961.0,111078.0,15217.0,1,0,Adenocarcinoma,papillary architecture,2,0,512.0,,ok
2461677-B2,6,0.46009737253189087,114918.0,27249.0,115046.0,27377.0,114918.0,27249.0,115174.0,27505.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,5,512.0,,ok
2461677-B2,7,0.4565677046775818,58594.0,22881.0,58722.0,23009.0,58594.0,22881.0,58850.0,23137.0,1,0,Adenocarcinoma,lepidic growth pattern,0,34,512.0,,ok
2461677-B2,8,0.4537109136581421,110822.0,23153.0,110950.0,23281.0,110822.0,23153.0,111078.0,23409.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,1,512.0,,ok
2461677-B2,9,0.4525212347507477,54498.0,22881.0,54626.0,23009.0,54498.0,22881.0,54754.0,23137.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,31,512.0,,ok
2461677-B2,10,0.45111334323883057,66786.0,35169.0,66914.0,35297.0,66786.0,35169.0,67042.0,35425.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,46,512.0,,ok
2461677-B2,11,0.4503404498100281,127206.0,14961.0,127334.0,15089.0,127206.0,14961.0,127462.0,15217.0,1,0,Adenocarcinoma,solid growth pattern,4,20,512.0,,ok
2461677-B2,12,0.44923585653305054,54498.0,14689.0,54626.0,14817.0,54498.0,14689.0,54754.0,14945.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,29,512.0,,ok
2461677-B2,13,0.44832050800323486,123110.0,6769.0,123238.0,6897.0,123110.0,6769.0,123366.0,7025.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,18,512.0,,ok
2461677-B2,14,0.4461667537689209,66786.0,18785.0,66914.0,18913.0,66786.0,18785.0,67042.0,19041.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,42,512.0,,ok
2461677-B2,15,0.4443475306034088,54498.0,18785.0,54626.0,18913.0,54498.0,18785.0,54754.0,19041.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,30,512.0,,ok
2461677-B2,16,0.4439666271209717,70882.0,10593.0,71010.0,10721.0,70882.0,10593.0,71138.0,10849.0,1,0,Adenocarcinoma,solid growth pattern,4,47,512.0,,ok
2461700-B2,1,0.5012342929840088,25648.0,35441.0,25776.0,35569.0,25648.0,35441.0,25904.0,35697.0,1,1,NonAdenocarcinoma,inflammatory or granulomatous lesion,3,24,512.0,,ok
2461700-B2,2,0.46559685468673706,25648.0,39537.0,25776.0,39665.0,25648.0,39537.0,25904.0,39793.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,25,512.0,,ok
2461700-B2,3,0.4594954252243042,87335.0,45570.0,87463.0,45698.0,87335.0,45570.0,87591.0,45826.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,54,512.0,,ok
2461700-B2,4,0.4485577940940857,87335.0,41474.0,87463.0,41602.0,87335.0,41474.0,87591.0,41730.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,53,512.0,,ok
2461700-B2,5,0.446870893239975,13360.0,43633.0,13488.0,43761.0,13360.0,43633.0,13616.0,43889.0,1,1,NonAdenocarcinoma,metastatic tumor in lung,5,5,512.0,,ok
2461700-B2,6,0.44387108087539673,29744.0,10865.0,29872.0,10993.0,29744.0,10865.0,30000.0,11121.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,27,512.0,,ok
2461700-B2,7,0.44340503215789795,87335.0,37378.0,87463.0,37506.0,87335.0,37378.0,87591.0,37634.0,1,1,NonAdenocarcinoma,inflammatory or granulomatous lesion,3,52,512.0,,ok
2461700-B2,8,0.443202406167984,83239.0,37378.0,83367.0,37506.0,83239.0,37378.0,83495.0,37634.0,1,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,6,43,512.0,,ok
2461700-B2,9,0.44297027587890625,29744.0,14961.0,29872.0,15089.0,29744.0,14961.0,30000.0,15217.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,28,512.0,,ok
2461700-B2,10,0.43871164321899414,9264.0,27249.0,9392.0,27377.0,9264.0,27249.0,9520.0,27505.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,62,512.0,,ok
2461700-B2,11,0.43856704235076904,17456.0,23153.0,17584.0,23281.0,17456.0,23153.0,17712.0,23409.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,7,512.0,,ok
2461700-B2,12,0.4384925961494446,95527.0,16898.0,95655.0,17026.0,95527.0,16898.0,95783.0,17154.0,1,0,Adenocarcinoma,lepidic growth pattern,0,65,512.0,,ok
2461700-B2,13,0.4383009672164917,79143.0,29186.0,79271.0,29314.0,79143.0,29186.0,79399.0,29442.0,1,1,NonAdenocarcinoma,fibroinflammatory scar-like lesion,8,37,512.0,,ok
2461700-B2,14,0.4381828010082245,13360.0,31345.0,13488.0,31473.0,13360.0,31345.0,13616.0,31601.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,2,512.0,,ok
2461700-B2,15,0.43665897846221924,21552.0,27249.0,21680.0,27377.0,21552.0,27249.0,21808.0,27505.0,1,1,NonAdenocarcinoma,fibroinflammatory scar-like lesion,8,15,512.0,,ok
2461700-B2,16,0.4350540041923523,25648.0,31345.0,25776.0,31473.0,25648.0,31345.0,25904.0,31601.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,23,512.0,,ok
2462478-B2,1,0.5076699256896973,44545.0,42608.0,44673.0,42736.0,44545.0,42608.0,44801.0,42864.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,97,512.0,,ok
2462478-B2,2,0.5040228366851807,44545.0,46704.0,44673.0,46832.0,44545.0,46704.0,44801.0,46960.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,98,512.0,,ok
2462478-B2,3,0.5037558078765869,36353.0,34416.0,36481.0,34544.0,36353.0,34416.0,36609.0,34672.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,76,512.0,,ok
2462478-B2,4,0.49769794940948486,44545.0,50800.0,44673.0,50928.0,44545.0,50800.0,44801.0,51056.0,1,0,Adenocarcinoma,papillary architecture,2,99,512.0,,ok
